id,class,reactants>reagents>production
US05849732,6,[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][CH2:7][CH2:8][CH2:9][NH:10][C:29](=[O:28])[O:30][CH2:31][c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1)[NH:11][C:12](=[O:13])[NH:14][c:15]1[cH:16][c:17]([O:18][CH3:19])[cH:20][c:21]([C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]1[OH:27]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][CH2:7][CH2:8][CH2:9][NH2:10])[NH:11][C:12](=[O:13])[NH:14][c:15]1[cH:16][c:17]([O:18][CH3:19])[cH:20][c:21]([C:22]([CH3:23])([CH3:24])[CH3:25])[c:26]1[OH:27]
US08003648B2,1,[CH3:1][CH2:2][NH:3][CH2:4][CH3:5].[CH:6]([c:7]1[cH:8][cH:9][c:10](-[c:11]2[n:12][c:13]([CH3:14])[c:15]([CH2:16][O:17][c:18]3[cH:19][cH:20][c:21]([C@H:22]([CH2:23][C:24](=[O:25])[N:26]4[C:27](=[O:28])[O:29][CH2:30][C@@H:31]4[CH2:32][c:33]4[cH:34][cH:35][cH:36][cH:37][cH:38]4)[c:39]4[cH:40][cH:41][o:42][n:43]4)[cH:44][cH:45]3)[s:46]2)[cH:47][cH:48]1)=[O:49]>>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][c:7]1[cH:8][cH:9][c:10](-[c:11]2[n:12][c:13]([CH3:14])[c:15]([CH2:16][O:17][c:18]3[cH:19][cH:20][c:21]([C@H:22]([CH2:23][C:24](=[O:25])[N:26]4[C:27](=[O:28])[O:29][CH2:30][C@@H:31]4[CH2:32][c:33]4[cH:34][cH:35][cH:36][cH:37][cH:38]4)[c:39]4[cH:40][cH:41][o:42][n:43]4)[cH:44][cH:45]3)[s:46]2)[cH:47][cH:48]1
US20100003305A1,2,[C:7](=[O:8])([C@@H:9]([NH:10][C:11](=[O:12])[CH2:13][NH:14][C:15](=[O:16])[C@@H:17]1[CH2:18][CH2:19][CH2:20][N:21]1[C:22](=[O:23])[C@@H:24]([NH:25][C:26](=[O:27])[O:28][CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[CH:36]([CH3:37])[CH3:38])[CH:39]([CH3:40])[CH3:41])[OH:42].[CH3:1][O:2][C:3](=[O:4])[CH2:5][NH2:6]>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][NH:6][C:7](=[O:8])[C@@H:9]([NH:10][C:11](=[O:12])[CH2:13][NH:14][C:15](=[O:16])[C@@H:17]1[CH2:18][CH2:19][CH2:20][N:21]1[C:22](=[O:23])[C@@H:24]([NH:25][C:26](=[O:27])[O:28][CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[CH:36]([CH3:37])[CH3:38])[CH:39]([CH3:40])[CH3:41]
US20040224976A1,6,[C:1](#[C:2][c:3]1[cH:4][o:5][c:6]2[cH:7][cH:8][c:9]([C:10](=[O:11])[NH:12][C@H:13]3[CH2:14][N:15]4[CH2:16][CH2:17][CH:18]3[CH2:19][CH2:20]4)[cH:21][c:22]12)[Si:24]([CH3:23])([CH3:25])[CH3:26]>>[CH:1]#[C:2][c:3]1[cH:4][o:5][c:6]2[cH:7][cH:8][c:9]([C:10](=[O:11])[NH:12][C@H:13]3[CH2:14][N:15]4[CH2:16][CH2:17][CH:18]3[CH2:19][CH2:20]4)[cH:21][c:22]12
US04564609,2,[C:4](=[O:5])([C@@H:6]1[CH2:7][CH2:8][CH2:9][N:10]1[C:11](=[O:12])[O:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[OH:21].[CH3:1][NH:2][CH3:3]>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[C@@H:6]1[CH2:7][CH2:8][CH2:9][N:10]1[C:11](=[O:12])[O:13][CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1
US20090081165A1,1,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([Cl:23])[c:18]([N+:19](=[O:20])[O-:21])[cH:22]1.[NH2:10][C@H:11]1[CH2:12][CH2:13][C@H:14]([OH:15])[CH2:16][CH2:17]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([NH:10][C@H:11]2[CH2:12][CH2:13][C@H:14]([OH:15])[CH2:16][CH2:17]2)[c:18]([N+:19](=[O:20])[O-:21])[cH:22]1
US08404673B2,1,[C:27]1(=[O:36])[CH2:28][CH2:29][N:30]([C:31]([CH3:32])=[O:33])[CH2:34][CH2:35]1.[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6]([F:7])([F:8])[F:9])[cH:10][c:11]([C:12]([F:13])([F:14])[F:15])[c:16]1[C:17](=[O:18])[NH:19][C@@H:20]1[CH2:21][CH2:22][CH2:23][CH2:24][C@@H:25]1[NH2:26]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6]([F:7])([F:8])[F:9])[cH:10][c:11]([C:12]([F:13])([F:14])[F:15])[c:16]1[C:17](=[O:18])[NH:19][C@@H:20]1[CH2:21][CH2:22][CH2:23][CH2:24][C@@H:25]1[NH:26][CH:27]1[CH2:28][CH2:29][N:30]([C:31]([CH3:32])=[O:33])[CH2:34][CH2:35]1
US20100009970A1,5,[C:14](=[O:15])([O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[O:39][C:37]([O:36][C:33]([CH3:32])([CH3:34])[CH3:35])=[O:38].[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[C@@H:11]([NH:12][CH3:13])[CH2:21][CH2:22][C@H:23]2[c:24]1[cH:25][cH:26][c:27]([Cl:28])[c:29]([Cl:30])[cH:31]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]2[c:9]([cH:10]1)[C@@H:11]([N:12]([CH3:13])[C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[CH2:21][CH2:22][C@H:23]2[c:24]1[cH:25][cH:26][c:27]([Cl:28])[c:29]([Cl:30])[cH:31]1
US20120101079A1,1,[CH3:1][CH2:2][S:3][c:4]1[n:5][c:6]([Cl:30])[cH:15][c:16]([CH3:17])[c:18]1[C:19](=[O:20])[NH:21][CH2:22][c:23]1[cH:24][cH:25][cH:26][c:27]([F:28])[cH:29]1.[NH:7]1[CH2:8][CH2:9][O:10][CH2:11][C@@H:12]1[CH2:13][OH:14]>>[CH3:1][CH2:2][S:3][c:4]1[n:5][c:6]([N:7]2[CH2:8][CH2:9][O:10][CH2:11][C@@H:12]2[CH2:13][OH:14])[cH:15][c:16]([CH3:17])[c:18]1[C:19](=[O:20])[NH:21][CH2:22][c:23]1[cH:24][cH:25][cH:26][c:27]([F:28])[cH:29]1
US20120095249A1,3,[CH3:1][C:2]1([CH3:3])[C@:4]2([C:5](=[O:6])[NH:7][c:8]3[cH:9][cH:10][c:11]([Cl:12])[cH:13][c:14]3[C:15](=[O:16])[C:22]([F:23])([F:24])[F:25])[CH2:26][CH2:27][C@@:28]1([CH3:29])[C:30](=[O:31])[O:32]2.[CH:17]#[C:18][CH:19]1[CH2:20][CH2:21]1>>[CH3:1][C:2]1([CH3:3])[C@:4]2([C:5](=[O:6])[NH:7][c:8]3[cH:9][cH:10][c:11]([Cl:12])[cH:13][c:14]3[C@@:15]([OH:16])([C:17]#[C:18][CH:19]3[CH2:20][CH2:21]3)[C:22]([F:23])([F:24])[F:25])[CH2:26][CH2:27][C@@:28]1([CH3:29])[C:30](=[O:31])[O:32]2
